OCCUR_DATE,OCCUR_TIME,BORO,LOC_CLASSFCTN_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,VIC_AGE_GROUP,VIC_SEX,Low_income_Housing_Mean,Households_Receiving_Benefits_Mean,Poverty_Rate_Median,Income_Median
01/21/2011,21:43:00,BROOKLYN,unknown,False,unknown,unknown,<18,M,2670,838,0.221,25924
07/27/2007,04:05:00,QUEENS,unknown,False,25-44,M,25-44,F,566,466,0.1965,28627
10/22/2006,04:10:00,QUEENS,unknown,False,unknown,F,18-24,M,566,466,0.1965,28627
08/10/2007,00:35:00,BROOKLYN,unknown,False,25-44,M,18-24,F,2670,838,0.221,25924
06/27/2013,01:45:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
06/29/2020,23:38:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
06/21/2021,02:30:00,MANHATTAN,unknown,True,unknown,unknown,25-44,M,4036,699,0.144,45959
07/03/2021,22:03:00,MANHATTAN,unknown,False,unknown,unknown,25-44,M,4036,699,0.144,45959
08/26/2008,17:29:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
07/03/2017,23:01:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
06/17/2006,23:35:00,BRONX,unknown,False,<18,M,25-44,M,2494,931,0.264,19487
04/27/2019,23:54:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
06/10/2007,01:45:00,STATEN ISLAND,unknown,False,25-44,M,25-44,M,524,318,0.144,35413
07/19/2007,01:53:00,BROOKLYN,unknown,True,18-24,M,18-24,M,2670,838,0.221,25924
01/25/2009,19:19:00,BROOKLYN,unknown,False,unknown,M,25-44,M,2670,838,0.221,25924
10/04/2014,04:45:00,QUEENS,unknown,False,18-24,M,<18,M,566,466,0.1965,28627
06/21/2006,23:02:00,BROOKLYN,unknown,False,18-24,M,<18,M,2670,838,0.221,25924
06/18/2011,04:57:00,MANHATTAN,unknown,False,unknown,unknown,25-44,M,4036,699,0.144,45959
07/28/2019,20:14:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
07/11/2010,06:27:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
11/03/2020,19:25:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
01/02/2017,20:25:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
02/02/2011,18:33:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
04/08/2021,19:45:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
07/14/2014,05:45:00,MANHATTAN,unknown,True,18-24,M,18-24,M,4036,699,0.144,45959
07/09/2021,07:00:00,BROOKLYN,unknown,False,18-24,M,18-24,F,2670,838,0.221,25924
07/11/2020,23:38:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
05/24/2020,08:42:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
04/20/2011,22:44:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
10/05/2006,01:46:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
